2026-05-26 17:24:59,303 | root | INFO | Gestionador carregat des de pickle: gestionador.pkl
2026-05-26 17:25:01,919 | root | INFO | Entrada seleccionada: 1
2026-05-26 17:25:03,938 | root | INFO | Usuari seleccionat: 20
2026-05-26 17:25:03,938 | root | INFO | Recomanació inicialitzada
2026-05-26 17:25:03,938 | root | INFO | Recomanacio simple seleccionada per l'usuari: 20
2026-05-26 17:25:04,039 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 17:25:04,044 | root | INFO | Recomanació calculada per a recomanació simple
2026-05-26 17:25:04,044 | root | INFO | Recomanacio calculada per a l'usuari: 20
2026-05-26 17:25:04,044 | root | INFO | Recomanació final calculada i preparada per a visualització
2026-05-26 17:25:04,044 | root | INFO | Visualitzant recomanació per a MOVIES
2026-05-26 17:25:04,044 | root | INFO | Recomanació visualitzada per a l'usuari 20
2026-05-26 17:25:48,641 | root | INFO | Usuari seleccionat: 20
2026-05-26 17:25:50,523 | root | INFO | Avaluació inicialitzada per a l'usuari: 20 amb el recomanador: RecomanacioSimple
2026-05-26 17:25:50,525 | root | INFO | Resultat de MAE: 0, calculat per a l'usuari 20
