2026-05-26 20:25:29,182 | root | INFO | Inicialització del gestionador per al tipus de contingut: MOVIES
2026-05-26 20:25:29,296 | root | INFO | Dades importades des de ratings.csv. Nombre d'usuaris: 610, Nombre de continguts: 9724
2026-05-26 20:25:29,296 | root | INFO | Diccionaris i matriu de dades creada correctament amb forma: (610, 9724)
2026-05-26 20:25:29,326 | root | INFO | Dades de contingut importades des de movies.csv. Nombre de continguts: 9742
2026-05-26 20:25:29,327 | root | INFO | Diccionari de contingut creat correctament
2026-05-26 20:25:29,327 | root | INFO | Gestionador inicialitzat amb MovieLens100k
2026-05-26 20:25:29,361 | root | INFO | Gestionador guardat a pickle: gestionador.pkl
2026-05-26 20:25:46,981 | root | INFO | Entrada seleccionada: 1
2026-05-26 20:25:50,039 | root | INFO | Usuari seleccionat: 20
2026-05-26 20:25:50,039 | root | INFO | Recomanació inicialitzada
2026-05-26 20:25:50,039 | root | INFO | Recomanacio simple seleccionada per l'usuari: 20
2026-05-26 20:25:50,124 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 20:25:50,129 | root | INFO | Recomanació calculada per a recomanació simple
2026-05-26 20:25:50,130 | root | INFO | Recomanacio calculada per a l'usuari: 20
2026-05-26 20:25:50,130 | root | INFO | Recomanació final calculada i preparada per a visualització
2026-05-26 20:25:50,130 | root | INFO | Visualitzant recomanació per a MOVIES
2026-05-26 20:25:50,130 | root | INFO | Recomanació visualitzada per a l'usuari 20
2026-05-26 20:26:32,185 | root | INFO | Usuari seleccionat: 1
2026-05-26 20:26:33,273 | root | INFO | Avaluació inicialitzada per a l'usuari: 1 amb el recomanador: RecomanacioSimple
2026-05-26 20:26:33,277 | root | INFO | Recomanació calculada per a recomanació simple
2026-05-26 20:26:33,278 | root | INFO | Resultat de MAE: 0, calculat per a l'usuari 1
