2026-05-26 20:27:24,035 | root | INFO | Gestionador carregat des de pickle: gestionador.pkl
2026-05-26 20:27:28,062 | root | INFO | Entrada seleccionada: 1
2026-05-26 20:27:29,118 | root | INFO | Usuari seleccionat: 1
2026-05-26 20:27:29,118 | root | INFO | Recomanació inicialitzada
2026-05-26 20:27:29,118 | root | INFO | Recomanacio simple seleccionada per l'usuari: 1
2026-05-26 20:27:29,238 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 20:27:29,244 | root | INFO | Recomanació calculada per a recomanació simple
2026-05-26 20:27:29,244 | root | INFO | Recomanacio calculada per a l'usuari: 1
2026-05-26 20:27:29,248 | root | INFO | Recomanació final calculada i preparada per a visualització
2026-05-26 20:27:29,248 | root | INFO | Visualitzant recomanació per a MOVIES
2026-05-26 20:27:29,248 | root | INFO | Recomanació visualitzada per a l'usuari 1
2026-05-26 20:28:28,431 | root | INFO | Programa finalitzat correctament
