2026-05-31 11:49:33,574 | root | INFO | Gestionador carregat des de pickle: gestionador.pkl
2026-05-31 11:49:39,514 | root | INFO | Entrada seleccionada: 1
2026-05-31 11:49:41,095 | root | INFO | Usuari seleccionat: 2
2026-05-31 11:49:41,095 | root | INFO | Recomanació inicialitzada
2026-05-31 11:49:41,095 | root | INFO | Recomanacio col·laborativa seleccionada per l'usuari: 2
2026-05-31 11:49:41,106 | root | INFO | Similituds trobades per a recomanació col·laborativa
2026-05-31 11:49:41,362 | root | INFO | Recomanació calculada per a recomanació col·laborativa
2026-05-31 11:49:41,365 | root | INFO | Recomanacio calculada per a l'usuari: 2
2026-05-31 11:49:41,366 | root | INFO | Recomanació final calculada i preparada per a visualització
2026-05-31 11:49:41,366 | root | INFO | Visualitzant recomanació per a MOVIES
2026-05-31 11:49:41,366 | root | INFO | Recomanació visualitzada per a l'usuari 2
2026-05-31 11:50:14,178 | root | INFO | Programa finalitzat correctament
