2026-05-26 21:52:25,845 | root | INFO | Gestionador carregat des de pickle: gestionador.pkl
2026-05-26 21:52:31,164 | root | INFO | Entrada seleccionada: 1
2026-05-26 21:52:32,910 | root | INFO | Usuari seleccionat: 20
2026-05-26 21:52:32,910 | root | INFO | Recomanació inicialitzada
2026-05-26 21:52:32,910 | root | INFO | Recomanacio col·laborativa seleccionada per l'usuari: 20
2026-05-26 21:52:32,925 | root | INFO | Similituds trobades per a recomanació col·laborativa
2026-05-26 21:52:33,280 | root | INFO | Recomanació calculada per a recomanació col·laborativa
2026-05-26 21:52:33,293 | root | INFO | Recomanacio calculada per a l'usuari: 20
2026-05-26 21:52:33,293 | root | INFO | Recomanació final calculada i preparada per a visualització
2026-05-26 21:52:33,293 | root | INFO | Visualitzant recomanació per a MOVIES
2026-05-26 21:52:33,293 | root | INFO | Recomanació visualitzada per a l'usuari 20
2026-05-26 21:52:38,425 | root | INFO | Usuari seleccionat: 20
2026-05-26 21:52:39,294 | root | INFO | Avaluació inicialitzada per a l'usuari: 20 amb el recomanador: RecomanacioColaborativa
2026-05-26 21:52:39,637 | root | INFO | Recomanació calculada per a recomanació col·laborativa
2026-05-26 21:52:39,637 | root | INFO | Resultat de RMSE: 1.194246652155658, calculat per a l'usuari 20
