2026-05-26 20:04:04,853 | root | INFO | Gestionador carregat des de pickle: gestionador.pkl
2026-05-26 20:04:08,298 | root | INFO | Entrada seleccionada: 1
2026-05-26 20:04:10,151 | root | INFO | Usuari seleccionat: 20
2026-05-26 20:04:10,151 | root | INFO | Recomanació inicialitzada
2026-05-26 20:04:10,151 | root | INFO | Recomanacio simple seleccionada per l'usuari: 20
2026-05-26 20:04:10,233 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 20:04:10,239 | root | INFO | Recomanació calculada per a recomanació simple
2026-05-26 20:04:10,239 | root | INFO | Recomanacio calculada per a l'usuari: 20
2026-05-26 20:04:10,242 | root | INFO | Recomanació final calculada i preparada per a visualització
2026-05-26 20:04:10,242 | root | INFO | Visualitzant recomanació per a MOVIES
2026-05-26 20:04:10,243 | root | INFO | Recomanació visualitzada per a l'usuari 20
2026-05-26 20:04:13,244 | root | INFO | Usuari seleccionat: 20
2026-05-26 20:04:14,244 | root | INFO | Avaluació inicialitzada per a l'usuari: 20 amb el recomanador: RecomanacioSimple
2026-05-26 20:04:14,247 | root | INFO | Recomanació calculada per a recomanació simple
2026-05-26 20:04:14,248 | root | INFO | Resultat de MAE: 0, calculat per a l'usuari 20
