2026-05-26 16:45:01,951 | numexpr.utils | INFO | NumExpr defaulting to 16 threads.
2026-05-26 16:45:02,223 | root | WARNING | Argument de tipus no vàlid o no proporcionat: None
2026-05-26 16:45:02,247 | root | INFO | Gestionador carregat des de pickle: gestionador.pkl
2026-05-26 16:45:07,323 | root | INFO | Entrada seleccionada: 1
2026-05-26 16:45:10,298 | root | INFO | Usuari seleccionat: 20
2026-05-26 16:45:10,298 | root | INFO | Recomanació inicialitzada
2026-05-26 16:45:10,298 | root | INFO | Recomanacio simple seleccionada per l'usuari: 20
2026-05-26 16:45:10,307 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:45:10,307 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:45:10,308 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:45:10,308 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:45:10,308 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:45:10,308 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:45:10,308 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:45:10,308 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:45:10,308 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:45:10,308 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:45:10,308 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:45:10,308 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:45:10,309 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:45:10,309 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:45:10,309 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:45:10,309 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:45:10,309 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:45:10,309 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:45:10,309 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:45:10,309 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:45:10,309 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:45:10,309 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:45:10,309 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:45:10,309 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:45:10,310 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:45:10,310 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:45:10,310 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:45:10,310 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:45:10,310 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:45:10,310 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:45:10,310 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:45:10,310 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:45:10,310 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:45:10,310 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:45:10,310 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:45:10,310 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:45:10,310 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:45:10,311 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:45:10,311 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:45:10,311 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:45:10,311 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:45:10,311 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:45:10,311 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:45:10,311 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:45:10,311 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:45:10,311 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:45:10,311 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:45:10,311 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:45:10,312 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:45:10,312 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:45:10,312 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:45:10,312 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:45:10,312 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:45:10,312 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:45:10,312 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:45:10,312 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:45:10,312 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:45:10,312 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:45:10,312 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:45:10,312 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:45:10,312 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:45:10,313 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:45:10,313 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:45:10,313 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:45:10,313 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:45:10,313 | root | INFO | Similituds trobades per a recomanació simple
