2026-05-26 16:53:43,456 | root | INFO | Gestionador carregat des de pickle: gestionador.pkl
2026-05-26 16:53:47,126 | root | INFO | Entrada seleccionada: 1
2026-05-26 16:53:48,994 | root | INFO | Usuari seleccionat: 20
2026-05-26 16:53:48,994 | root | INFO | Recomanació inicialitzada
2026-05-26 16:53:48,994 | root | INFO | Recomanacio simple seleccionada per l'usuari: 20
2026-05-26 16:53:49,090 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:53:49,621 | root | INFO | Recomanació calculada per a recomanació simple
2026-05-26 16:53:49,622 | root | INFO | Recomanacio calculada per a l'usuari: 20
2026-05-26 16:53:49,623 | root | INFO | Recomanació final calculada i preparada per a visualització
2026-05-26 16:53:49,623 | root | INFO | Visualitzant recomanació per a MOVIES
2026-05-26 16:53:49,623 | root | INFO | Recomanació visualitzada per a l'usuari 20
2026-05-26 16:53:54,495 | root | INFO | Usuari seleccionat: 20
2026-05-26 16:53:56,096 | root | INFO | Avaluació inicialitzada per a l'usuari: 20 amb el recomanador: RecomanacioSimple
2026-05-26 16:53:56,097 | root | INFO | Resultat de MAE: 0.0, calculat per a l'usuari 20
2026-05-26 16:57:51,714 | root | INFO | Programa finalitzat correctament
