2026-05-26 19:45:35,607 | root | INFO | Gestionador carregat des de pickle: gestionador.pkl
2026-05-26 19:45:43,421 | root | INFO | Entrada seleccionada: 1
2026-05-26 19:45:45,709 | root | INFO | Usuari seleccionat: 20
2026-05-26 19:45:45,709 | root | INFO | Recomanació inicialitzada
2026-05-26 19:45:45,709 | root | INFO | Recomanacio simple seleccionada per l'usuari: 20
2026-05-26 19:45:45,829 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 19:45:45,836 | root | INFO | Recomanació calculada per a recomanació simple
2026-05-26 19:45:45,836 | root | INFO | Recomanacio calculada per a l'usuari: 20
2026-05-26 19:45:45,837 | root | INFO | Recomanació final calculada i preparada per a visualització
2026-05-26 19:45:45,837 | root | INFO | Visualitzant recomanació per a MOVIES
2026-05-26 19:45:45,838 | root | INFO | Recomanació visualitzada per a l'usuari 20
2026-05-26 20:00:29,966 | root | INFO | Programa finalitzat correctament
