2026-05-27 11:20:54,862 | root | INFO | Gestionador carregat des de pickle: gestionador.pkl
2026-05-27 11:20:58,561 | root | INFO | Entrada seleccionada: 1
2026-05-27 11:21:00,104 | root | INFO | Usuari seleccionat: 20
2026-05-27 11:21:00,104 | root | INFO | Recomanació inicialitzada
2026-05-27 11:21:00,105 | root | INFO | Recomanacio simple seleccionada per l'usuari: 20
2026-05-27 11:21:00,187 | root | INFO | Similituds trobades per a recomanació simple
2026-05-27 11:21:00,194 | root | INFO | Recomanació calculada per a recomanació simple
2026-05-27 11:21:00,194 | root | INFO | Recomanacio calculada per a l'usuari: 20
2026-05-27 11:21:00,194 | root | INFO | Recomanació final calculada i preparada per a visualització
2026-05-27 11:21:00,194 | root | INFO | Visualitzant recomanació per a MOVIES
2026-05-27 11:21:00,195 | root | INFO | Recomanació visualitzada per a l'usuari 20
2026-05-27 11:21:03,194 | root | INFO | Usuari seleccionat: 20
2026-05-27 11:21:04,654 | root | INFO | Avaluació inicialitzada per a l'usuari: 20 amb el recomanador: RecomanacioSimple
2026-05-27 11:21:04,661 | root | INFO | Recomanació calculada per a recomanació simple
2026-05-27 11:21:04,661 | root | INFO | MAE calculat: 0.6673397711181419
2026-05-27 11:21:04,661 | root | INFO | Resultat de MAE: 0.6673397711181419, calculat per a l'usuari 20
2026-05-27 11:21:13,256 | root | INFO | Usuari seleccionat: 20
2026-05-27 11:21:13,623 | root | INFO | Avaluació inicialitzada per a l'usuari: 20 amb el recomanador: RecomanacioSimple
2026-05-27 11:21:13,630 | root | INFO | Recomanació calculada per a recomanació simple
2026-05-27 11:21:13,630 | root | INFO | RMSE calculat: 0.7456960673797068
2026-05-27 11:21:13,630 | root | INFO | Resultat de RMSE: 0.7456960673797068, calculat per a l'usuari 20
2026-05-27 11:21:21,188 | root | INFO | Programa finalitzat correctament
