2026-05-26 20:02:27,489 | root | INFO | Gestionador carregat des de pickle: gestionador.pkl
2026-05-26 20:02:30,471 | root | INFO | Entrada seleccionada: 1
2026-05-26 20:02:32,299 | root | INFO | Usuari seleccionat: 20
2026-05-26 20:02:32,299 | root | INFO | Recomanació inicialitzada
2026-05-26 20:02:32,299 | root | INFO | Recomanacio simple seleccionada per l'usuari: 20
2026-05-26 20:02:32,381 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 20:02:32,386 | root | INFO | Recomanació calculada per a recomanació simple
2026-05-26 20:02:32,386 | root | INFO | Recomanacio calculada per a l'usuari: 20
2026-05-26 20:02:32,389 | root | INFO | Recomanació final calculada i preparada per a visualització
2026-05-26 20:02:32,389 | root | INFO | Visualitzant recomanació per a MOVIES
2026-05-26 20:02:32,390 | root | INFO | Recomanació visualitzada per a l'usuari 20
2026-05-26 20:02:35,661 | root | INFO | Usuari seleccionat: 20
2026-05-26 20:02:37,317 | root | INFO | Avaluació inicialitzada per a l'usuari: 20 amb el recomanador: RecomanacioSimple
2026-05-26 20:02:37,320 | root | INFO | Recomanació calculada per a recomanació simple
2026-05-26 20:02:37,321 | root | INFO | Resultat de MAE: 0, calculat per a l'usuari 20
