2026-05-26 20:56:03,146 | root | INFO | Gestionador carregat des de pickle: gestionador.pkl
2026-05-26 20:56:09,374 | root | INFO | Entrada seleccionada: 1
2026-05-26 20:56:13,116 | root | INFO | Usuari seleccionat: 20
2026-05-26 20:56:13,116 | root | INFO | Recomanació inicialitzada
2026-05-26 20:56:13,116 | root | INFO | Recomanacio simple seleccionada per l'usuari: 20
2026-05-26 20:56:13,233 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 20:56:13,242 | root | INFO | Recomanació calculada per a recomanació simple
2026-05-26 20:56:13,242 | root | INFO | Recomanacio calculada per a l'usuari: 20
2026-05-26 20:56:13,243 | root | INFO | Recomanació final calculada i preparada per a visualització
2026-05-26 20:56:13,243 | root | INFO | Visualitzant recomanació per a MOVIES
2026-05-26 20:56:13,243 | root | INFO | Recomanació visualitzada per a l'usuari 20
2026-05-26 20:56:21,974 | root | INFO | Programa finalitzat correctament
