2026-05-26 21:29:44,559 | root | INFO | Inicialització del gestionador per al tipus de contingut: BOOKS
2026-05-26 21:29:45,854 | root | INFO | Dades importades des de Ratings.csv. Nombre d'usuaris: 105283, Nombre de continguts: 10000
2026-05-26 21:29:45,854 | root | INFO | Diccionaris i matriu de dades creada correctament amb forma: (105283, 10000)
2026-05-26 21:29:45,860 | root | INFO | Gestionador inicialitzat amb Books
2026-05-26 21:29:50,561 | root | INFO | Gestionador guardat a pickle: gestionador.pkl
2026-05-26 21:29:53,173 | root | INFO | Entrada seleccionada: 1
2026-05-26 21:30:02,028 | root | INFO | Usuari seleccionat: 226965
2026-05-26 21:30:02,029 | root | INFO | Recomanació inicialitzada
2026-05-26 21:30:02,029 | root | INFO | Recomanacio simple seleccionada per l'usuari: 226965
2026-05-26 21:30:16,838 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 21:30:16,847 | root | INFO | Recomanació calculada per a recomanació simple
2026-05-26 21:30:16,847 | root | INFO | Recomanacio calculada per a l'usuari: 226965
2026-05-26 21:30:16,848 | root | INFO | Recomanació final calculada i preparada per a visualització
2026-05-26 21:30:16,848 | root | INFO | Visualitzant recomanació per a BOOKS
2026-05-26 21:30:16,848 | root | INFO | Recomanació visualitzada per a l'usuari 226965
2026-05-26 21:30:51,170 | root | INFO | Programa finalitzat correctament
