2026-05-26 21:00:34,493 | root | INFO | Inicialització del gestionador per al tipus de contingut: BOOKS
2026-05-26 21:00:35,765 | root | INFO | Dades importades des de Ratings.csv. Nombre d'usuaris: 105283, Nombre de continguts: 10000
2026-05-26 21:00:35,765 | root | INFO | Diccionaris i matriu de dades creada correctament amb forma: (105283, 10000)
2026-05-26 21:00:35,771 | root | INFO | Gestionador inicialitzat amb Books
2026-05-26 21:00:41,031 | root | INFO | Gestionador guardat a pickle: gestionador.pkl
2026-05-26 21:00:44,542 | root | INFO | Entrada seleccionada: 1
2026-05-26 21:01:07,372 | root | INFO | Usuari seleccionat: 276747
2026-05-26 21:01:07,372 | root | INFO | Recomanació inicialitzada
2026-05-26 21:01:07,372 | root | INFO | Recomanacio simple seleccionada per l'usuari: 276747
2026-05-26 21:01:18,794 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 21:01:18,802 | root | INFO | Recomanació calculada per a recomanació simple
2026-05-26 21:01:18,802 | root | INFO | Recomanacio calculada per a l'usuari: 276747
2026-05-26 21:01:18,802 | root | INFO | Recomanació final calculada i preparada per a visualització
2026-05-26 21:01:18,802 | root | INFO | Visualitzant recomanació per a BOOKS
