2026-05-28 00:51:54,384 | root | INFO | Gestionador carregat des de pickle: gestionador.pkl
2026-05-28 00:52:11,326 | root | INFO | Entrada seleccionada: 1
2026-05-28 00:52:14,045 | root | INFO | Usuari seleccionat: 20
2026-05-28 00:52:14,045 | root | INFO | Recomanació inicialitzada
2026-05-28 00:52:14,045 | root | INFO | Recomanacio basada en contingut seleccionada per l'usuari: 20
2026-05-28 00:52:14,088 | root | INFO | Similituds trobades per a recomanació basada en contingut
2026-05-28 00:52:14,193 | root | INFO | Recomanació calculada per a recomanació basada en contingut
2026-05-28 00:52:14,194 | root | INFO | Recomanacio calculada per a l'usuari: 20
2026-05-28 00:52:14,195 | root | INFO | Recomanació final calculada i preparada per a visualització
2026-05-28 00:52:14,195 | root | INFO | Visualitzant recomanació per a MOVIES
2026-05-28 00:52:14,195 | root | INFO | Recomanació visualitzada per a l'usuari 20
2026-05-28 00:52:27,340 | root | INFO | Usuari seleccionat: 20
2026-05-28 00:52:28,781 | root | INFO | Avaluació inicialitzada per a l'usuari: 20 amb el recomanador: RecomanacioBasadaContingut
2026-05-28 00:52:28,886 | root | INFO | Recomanació calculada per a recomanació basada en contingut
2026-05-28 00:52:28,886 | root | INFO | MAE calculat: 0.7315266282310736
2026-05-28 00:52:28,887 | root | INFO | Resultat de MAE: 0.7315266282310736, calculat per a l'usuari 20
2026-05-28 01:11:52,293 | root | INFO | Programa finalitzat correctament
