2026-05-26 21:28:25,397 | root | INFO | Gestionador carregat des de pickle: gestionador.pkl
2026-05-26 21:28:36,472 | root | INFO | Entrada seleccionada: 1
2026-05-26 21:29:00,747 | root | INFO | Usuari seleccionat: 226965
2026-05-26 21:29:00,748 | root | INFO | Recomanació inicialitzada
2026-05-26 21:29:00,748 | root | INFO | Recomanacio simple seleccionada per l'usuari: 226965
2026-05-26 21:29:15,413 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 21:29:15,423 | root | INFO | Recomanació calculada per a recomanació simple
2026-05-26 21:29:15,423 | root | INFO | Recomanacio calculada per a l'usuari: 226965
2026-05-26 21:29:15,425 | root | INFO | Recomanació final calculada i preparada per a visualització
2026-05-26 21:29:15,425 | root | INFO | Visualitzant recomanació per a BOOKS
2026-05-26 21:29:15,425 | root | INFO | Recomanació visualitzada per a l'usuari 226965
2026-05-26 21:29:35,055 | root | INFO | Programa finalitzat correctament
