2026-05-26 21:38:41,035 | root | INFO | Inicialització del gestionador per al tipus de contingut: BOOKS
2026-05-26 21:38:42,396 | root | INFO | Dades importades des de Ratings.csv. Nombre d'usuaris: 105283, Nombre de continguts: 10000
2026-05-26 21:38:42,397 | root | INFO | Diccionaris i matriu de dades creada correctament amb forma: (105283, 10000)
2026-05-26 21:38:43,165 | root | INFO | Dades de contingut importades des de Books.csv. Nombre de continguts: 8627
2026-05-26 21:38:43,166 | root | INFO | Diccionari de contingut creat correctament
2026-05-26 21:38:43,166 | root | INFO | Gestionador inicialitzat amb Books
2026-05-26 21:38:47,937 | root | INFO | Gestionador guardat a pickle: gestionador.pkl
2026-05-26 21:38:51,510 | root | INFO | Entrada seleccionada: 1
2026-05-26 21:38:58,181 | root | INFO | Usuari seleccionat: 226965
2026-05-26 21:38:58,181 | root | INFO | Recomanació inicialitzada
2026-05-26 21:38:58,181 | root | INFO | Recomanacio col·laborativa seleccionada per l'usuari: 226965
2026-05-26 21:38:59,305 | root | INFO | Similituds trobades per a recomanació col·laborativa
2026-05-26 21:40:16,990 | root | INFO | Recomanació calculada per a recomanació col·laborativa
2026-05-26 21:40:16,993 | root | INFO | Recomanacio calculada per a l'usuari: 226965
2026-05-26 21:40:16,993 | root | INFO | Recomanació final calculada i preparada per a visualització
2026-05-26 21:40:16,993 | root | INFO | Visualitzant recomanació per a BOOKS
2026-05-26 21:40:16,994 | root | INFO | Recomanació visualitzada per a l'usuari 226965
2026-05-26 21:40:28,291 | root | INFO | Usuari seleccionat: 1
