2026-05-26 20:56:31,368 | root | INFO | Inicialització del gestionador per al tipus de contingut: BOOKS
2026-05-26 20:56:32,682 | root | INFO | Dades importades des de Ratings.csv. Nombre d'usuaris: 105283, Nombre de continguts: 10000
2026-05-26 20:56:32,682 | root | INFO | Diccionaris i matriu de dades creada correctament amb forma: (105283, 10000)
2026-05-26 20:56:32,688 | root | INFO | Gestionador inicialitzat amb Books
2026-05-26 20:56:37,967 | root | INFO | Gestionador guardat a pickle: gestionador.pkl
2026-05-26 20:56:41,630 | root | INFO | Entrada seleccionada: 1
2026-05-26 20:56:46,054 | root | INFO | Usuari seleccionat: 20
2026-05-26 20:56:46,055 | root | INFO | Recomanació inicialitzada
2026-05-26 20:56:46,063 | root | INFO | Recomanacio simple seleccionada per l'usuari: 20
2026-05-26 20:56:59,310 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 20:56:59,324 | root | INFO | Recomanació calculada per a recomanació simple
2026-05-26 20:56:59,324 | root | INFO | Recomanacio calculada per a l'usuari: 20
2026-05-26 20:56:59,325 | root | INFO | Recomanació final calculada i preparada per a visualització
2026-05-26 20:56:59,326 | root | INFO | Visualitzant recomanació per a BOOKS
