2026-05-26 17:15:20,503 | root | INFO | Gestionador carregat des de pickle: gestionador.pkl
2026-05-26 17:15:25,982 | root | INFO | Entrada seleccionada: 1
2026-05-26 17:15:27,850 | root | INFO | Usuari seleccionat: 30
2026-05-26 17:15:27,850 | root | INFO | Recomanació inicialitzada
2026-05-26 17:15:27,850 | root | INFO | Recomanacio simple seleccionada per l'usuari: 30
2026-05-26 17:15:27,940 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 17:15:27,944 | root | INFO | Recomanació calculada per a recomanació simple
2026-05-26 17:15:27,944 | root | INFO | Recomanacio calculada per a l'usuari: 30
2026-05-26 17:15:27,944 | root | INFO | Recomanació final calculada i preparada per a visualització
2026-05-26 17:15:27,944 | root | INFO | Visualitzant recomanació per a MOVIES
2026-05-26 17:15:27,944 | root | INFO | Recomanació visualitzada per a l'usuari 30
2026-05-26 17:16:05,682 | root | INFO | Usuari seleccionat: 10
2026-05-26 17:16:06,512 | root | INFO | Avaluació inicialitzada per a l'usuari: 10 amb el recomanador: RecomanacioSimple
2026-05-26 17:16:06,512 | root | INFO | Resultat de MAE: 3.739103527054583, calculat per a l'usuari 10
2026-05-26 17:16:26,550 | root | INFO | Usuari seleccionat: 20
2026-05-26 17:16:26,550 | root | INFO | Recomanació inicialitzada
2026-05-26 17:16:26,550 | root | INFO | Recomanacio simple seleccionada per l'usuari: 20
2026-05-26 17:16:26,646 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 17:16:26,651 | root | INFO | Recomanació calculada per a recomanació simple
2026-05-26 17:16:26,651 | root | INFO | Recomanacio calculada per a l'usuari: 20
2026-05-26 17:16:26,651 | root | INFO | Recomanació final calculada i preparada per a visualització
2026-05-26 17:16:26,651 | root | INFO | Visualitzant recomanació per a MOVIES
2026-05-26 17:16:26,651 | root | INFO | Recomanació visualitzada per a l'usuari 20
2026-05-26 17:21:00,831 | root | INFO | Usuari seleccionat: 20
2026-05-26 17:21:03,675 | root | INFO | Avaluació inicialitzada per a l'usuari: 20 amb el recomanador: RecomanacioSimple
2026-05-26 17:21:03,675 | root | INFO | Resultat de MAE: 0, calculat per a l'usuari 20
