2026-05-27 11:16:40,456 | root | INFO | Gestionador carregat des de pickle: gestionador.pkl
2026-05-27 11:16:43,048 | root | INFO | Entrada seleccionada: 1
2026-05-27 11:16:44,722 | root | INFO | Usuari seleccionat: 20
2026-05-27 11:16:44,722 | root | INFO | Recomanació inicialitzada
2026-05-27 11:16:44,722 | root | INFO | Recomanacio simple seleccionada per l'usuari: 20
2026-05-27 11:16:44,808 | root | INFO | Similituds trobades per a recomanació simple
2026-05-27 11:16:44,815 | root | INFO | Recomanació calculada per a recomanació simple
2026-05-27 11:16:44,815 | root | INFO | Recomanacio calculada per a l'usuari: 20
2026-05-27 11:16:44,819 | root | INFO | Recomanació final calculada i preparada per a visualització
2026-05-27 11:16:44,819 | root | INFO | Visualitzant recomanació per a MOVIES
2026-05-27 11:16:44,819 | root | INFO | Recomanació visualitzada per a l'usuari 20
2026-05-27 11:19:16,703 | root | INFO | Usuari seleccionat: 20
2026-05-27 11:19:17,900 | root | INFO | Avaluació inicialitzada per a l'usuari: 20 amb el recomanador: RecomanacioSimple
2026-05-27 11:19:17,907 | root | INFO | Recomanació calculada per a recomanació simple
2026-05-27 11:19:17,907 | root | INFO | MAE calculat: 0.6673397711181419
2026-05-27 11:19:17,907 | root | INFO | Resultat de MAE: 0.6673397711181419, calculat per a l'usuari 20
